Country,NumAirports,Degree,DegreeCentrality,Betweenness,Closeness,Eigenvector
Reunion,2,7,0.03125,0.0007582558247987369,0.42344045368620037,0.01141076445780734
Anguilla,1,4,0.017857142857142856,3.2173743937036697e-06,0.32463768115942027,0.0021891735764037637
Montenegro,2,11,0.049107142857142856,2.5024023062139652e-06,0.42829827915869984,0.04231596085035911
Malta,1,27,0.12053571428571427,0.00027460324550621616,0.4666666666666667,0.08663778298230476
Niue,1,1,0.004464285714285714,0.0,0.30601092896174864,0.0006498218150700776
Grenada,1,7,0.03125,0.001055656545250702,0.3950617283950617,0.009025009887309154
Senegal,3,25,0.11160714285714285,0.006389664112803441,0.48695652173913045,0.049262203622860636
Paraguay,2,8,0.03571428571428571,5.6304051889814224e-06,0.3950617283950617,0.009404603263485843
Wallis and Futuna,2,2,0.008928571428571428,0.0,0.2982689747003995,0.0003733325613785313
Saint Kitts and Nevis,2,7,0.03125,0.0007306692580218475,0.3936731107205624,0.006225416493158813
Marshall Islands,2,4,0.017857142857142856,0.001972347900752563,0.3902439024390244,0.0037759166150742886
Turks and Caicos Islands,4,7,0.03125,4.979009541036145e-05,0.3950617283950617,0.009960936307369769
Lebanon,1,30,0.13392857142857142,0.0010064871057987453,0.46473029045643155,0.08168062101459928
Lesotho,1,1,0.004464285714285714,0.0,0.3483670295489891,0.0019651963725827843
Swaziland,1,1,0.004464285714285714,0.0,0.3483670295489891,0.0019651963725827843
Jersey,1,7,0.03125,1.8017296604740552e-05,0.4226415094339623,0.025768292497583042
Malawi,2,6,0.026785714285714284,6.4347487874073395e-06,0.367816091954023,0.007552829852772464
Estonia,3,19,0.08482142857142856,7.193497236043344e-06,0.448,0.06542955605207372
Togo,1,14,0.0625,0.00039384271219591285,0.4250474383301708,0.02193102606217146
Chad,1,8,0.03571428571428571,8.593660975411162e-05,0.4226415094339623,0.01797378917599878
Comoros,1,6,0.026785714285714284,6.382770437385159e-05,0.3373493975903614,0.004047192839194345
Nauru,1,3,0.013392857142857142,0.0002574482492203505,0.33185185185185184,0.0012999618307615592
Mauritius,2,16,0.07142857142857142,0.001275990959922763,0.4745762711864407,0.04385965333882333
Martinique,1,10,0.04464285714285714,0.0007125406474730224,0.4426877470355731,0.0161654152582711
Gabon,2,14,0.0625,0.00048086663653542554,0.4383561643835616,0.022540209528946288
Dominica,1,9,0.040178571428571425,0.0004246227952290293,0.328928046989721,0.0035393241346446023
Albania,1,7,0.03125,5.505285073670724e-06,0.40875912408759124,0.026847200507303944
Iraq,5,14,0.0625,7.813995992273108e-05,0.4250474383301708,0.04230159294355395
Congo (Brazzaville),2,11,0.049107142857142856,0.00018470867658727956,0.42829827915869984,0.01767309779532955
Saint Pierre and Miquelon,1,1,0.004464285714285714,0.0,0.3642276422764228,0.003039952194860913
Falkland Islands,1,2,0.008928571428571428,0.0,0.328928046989721,0.001682561622937424
Saint Vincent and the Grenadines,1,5,0.02232142857142857,2.7240436533357737e-05,0.3128491620111732,0.0017171591932238206
New Caledonia,1,7,0.03125,0.0018543005975885033,0.36187399030694667,0.004486212816123194
American Samoa,1,1,0.004464285714285714,0.0,0.38620689655172413,0.0036322242241444264
Guinea-Bissau,1,5,0.02232142857142857,3.0779548366431776e-05,0.3494539781591264,0.005011947349083356
Singapore,1,40,0.17857142857142855,0.013902830591172803,0.5161290322580645,0.09183013590207624
Nicaragua,1,5,0.02232142857142857,0.0,0.38956521739130434,0.005719722909555844
Hong Kong,1,42,0.1875,0.01466864014813249,0.5333333333333333,0.09613918268165773
Bahrain,1,23,0.10267857142857142,0.0006505430658166167,0.4628099173553719,0.05950865845500428
Barbados,1,15,0.06696428571428571,0.005038351300881874,0.4444444444444444,0.02197951861841931
Bhutan,1,3,0.013392857142857142,0.0,0.3516483516483517,0.00480100220259569
Samoa,1,4,0.017857142857142856,0.0,0.4021543985637343,0.0056587035054367005
Mayotte,1,6,0.026785714285714284,0.00040012231905202773,0.41025641025641024,0.00839168644675392
Norfolk Island,1,2,0.008928571428571428,0.0,0.3308714918759232,0.0017615017090262845
Brunei,1,10,0.04464285714285714,3.5845543735493045e-05,0.41100917431192663,0.022891356494500505
Cote d'Ivoire,1,19,0.08482142857142856,0.0006973283389529419,0.4357976653696498,0.030651967145528557
Gibraltar,1,1,0.004464285714285714,0.0,0.38290598290598293,0.004828091018081616
Turkmenistan,1,9,0.040178571428571425,1.5094377473122814e-05,0.42911877394636017,0.03259982511788356
